date,ticker,NewsCount,NewsTone
2022-04-27,NVDA,100,-0.0055034155166379783
2022-04-27,TSLA,559,-0.016235048430475005
2022-04-28,AAPL,707,0.0034923101950624248
2022-04-28,AMZN,699,-0.0022371547129961936
2022-04-28,FB,5073,-0.0066269873435612619
2022-04-28,NVDA,73,-0.00161711670653817
2022-04-28,TSLA,263,-0.0092796944782438176
2022-04-29,AAPL,914,-0.0034226779854683994
2022-04-29,AMZN,1056,-0.00915718280028563
2022-04-29,FB,3840,-0.008341176144634161
2022-04-29,NVDA,84,-0.0010395280243662248
2022-04-29,TSLA,839,-0.0059368480729152006
2022-04-30,AAPL,276,-0.0064397566918306479
2022-04-30,AMZN,334,-0.0016211277214504356
2022-04-30,FB,2389,-0.012001256171818775
2022-04-30,NVDA,50,-0.02005961068182226
2022-04-30,TSLA,169,-0.0026493499795885909
2022-05-01,AAPL,315,-0.024157713909609732
2022-05-01,AMZN,301,-0.0046756522184908077
2022-05-01,FB,1940,-0.007975307801464316
2022-05-01,NVDA,61,-0.016149554552299588
2022-05-01,TSLA,91,-0.0028002196003364364
2022-05-02,AAPL,986,-0.018119619464792455
2022-05-02,AMZN,918,-0.0024564885232923358
2022-05-02,FB,3056,-0.0081801507237218313
2022-05-02,NVDA,59,-0.010215165880377986
2022-05-02,TSLA,157,-0.0083040877375104519
2022-05-03,AAPL,683,-0.0018994986982309196
2022-05-03,AMZN,763,-0.00045030316311319167
2022-05-03,FB,3666,-0.0090000769317511251
2022-05-03,NVDA,78,-0.0067695216104068185
2022-05-03,TSLA,148,-0.0062332614724518271
2022-05-04,AAPL,517,0.00575300358925771
2022-05-04,AMZN,639,0.0055974680528954679
2022-05-04,FB,3783,-0.0073628029722771719
2022-05-04,NVDA,64,-0.0066762021549093128
2022-05-04,TSLA,147,0.0020385551284599632
2022-05-05,AAPL,538,0.00902358290697712
2022-05-05,AMZN,549,0.0073850170128988025
2022-05-05,FB,3849,-0.0090609528868763542
2022-05-05,NVDA,91,-0.0087441194058069313
2022-05-05,TSLA,138,-0.0053607028004831088
2022-05-06,AAPL,528,0.00464511509136693
2022-05-06,AMZN,556,-0.0010652395772376816
2022-05-06,FB,3893,-0.0091607084078120325
2022-05-06,NVDA,135,-0.015712843151466559
2022-05-06,TSLA,281,-0.018096252223202224
2022-05-07,AAPL,217,-0.0020482149390519426
2022-05-07,AMZN,303,-0.010733696677890448
2022-05-07,FB,2311,-0.010246127867203412
2022-05-07,NVDA,81,-0.020097286632822682
2022-05-07,TSLA,171,-0.027733650106163021
2022-05-08,AAPL,408,-0.010073630437927453
2022-05-08,AMZN,145,0.0039910816895326372
2022-05-08,FB,1863,-0.010640310767631918
2022-05-08,NVDA,64,-0.022449301113190302
2022-05-08,TSLA,116,-0.0032272648742657458
2022-05-09,AAPL,478,-0.001726113508633995
2022-05-09,AMZN,348,0.0035634617290593116
2022-05-09,FB,3616,-0.007135768438940952
2022-05-09,NVDA,110,-0.010951873716980479
2022-05-09,TSLA,242,-0.01107342435230505
2022-05-10,AAPL,772,0.00094344468095578524
2022-05-10,AMZN,565,-0.0040493180398937095
2022-05-10,FB,4006,-0.011016890512143074
2022-05-10,NVDA,95,-0.014332895136343147
2022-05-10,TSLA,648,-0.021654104827988723
2022-05-11,AAPL,1071,0.0047061033446439112
2022-05-11,AMZN,395,0.0076366836045347174
2022-05-11,FB,3970,-0.011136871152975692
2022-05-11,NVDA,83,-0.0066170912591514957
2022-05-11,TSLA,294,-0.014945112491812792
2022-05-12,AAPL,708,0.0011177061381267622
2022-05-12,AMZN,357,0.0092452700227723533
2022-05-12,FB,3987,-0.010706857518984108
2022-05-12,NVDA,108,-0.0033359373582753805
2022-05-12,TSLA,249,-0.008386051527172601
2022-05-13,AAPL,565,0.0044815219004707488
2022-05-13,AMZN,450,0.005673281695440676
2022-05-13,FB,3543,-0.010851085430940368
2022-05-13,NVDA,88,-0.0076661922482725567
2022-05-13,TSLA,327,-0.019241269178641482
2022-05-14,AAPL,267,0.0017609032243223737
2022-05-14,AMZN,183,0.00021047741700102004
2022-05-14,FB,2370,-0.013944954924335262
2022-05-14,NVDA,52,-0.022009810855397448
2022-05-14,TSLA,112,-0.029529157377917031
2022-05-15,AAPL,300,-0.012193894867396183
2022-05-15,AMZN,134,-0.0050481641678487756
2022-05-15,FB,1857,-0.010694423678646234
2022-05-15,NVDA,43,-0.021726813070933347
2022-05-15,TSLA,86,0.00567661158301297
2022-05-16,AAPL,512,0.0095387451198614779
2022-05-16,AMZN,271,-0.0075395816036833924
2022-05-16,FB,3423,-0.012326991415366631
2022-05-16,NVDA,98,-0.015842159070811823
2022-05-16,TSLA,216,-0.0083306992493925661
2022-05-17,AAPL,786,-4.7115577460635392e-05
2022-05-17,AMZN,387,0.00046841861795293905
2022-05-17,FB,4017,-0.013515125050888388
2022-05-17,NVDA,79,-0.00970635720041245
2022-05-17,TSLA,340,-0.0029407838657060227
2022-05-18,AAPL,761,-0.013897742026335059
2022-05-18,AMZN,606,-0.0015476130632314728
2022-05-18,FB,3810,-0.0092051137267413746
2022-05-18,NVDA,92,-0.00095255201701746639
2022-05-18,TSLA,340,-0.014671744277270778
